iter	Passed	Remaining
0	46	46612
1	79	39787
2	90	30179
3	119	29681
4	149	29697
5	180	29938
6	212	30119
7	237	29475
8	286	31591
9	312	30928
10	336	30228
11	364	30034
12	392	29837
13	418	29455
14	430	28268
15	455	27993
16	484	28015
17	509	27783
18	534	27585
19	559	27412
20	585	27296
21	611	27181
22	636	27030
23	659	26821
24	683	26652
25	707	26520
26	733	26431
27	759	26369
28	786	26349
29	817	26436
30	845	26418
31	871	26360
32	901	26421
33	934	26539
34	963	26560
35	1075	28797
36	1114	29019
37	1171	29657
38	1210	29819
39	1224	29382
40	1256	29401
41	1285	29332
42	1317	29316
43	1348	29299
44	1381	29324
45	1412	29301
46	1473	29869
47	1556	30864
48	1588	30832
49	1634	31060
50	1668	31046
51	1697	30950
52	1723	30798
53	1733	30359
54	1765	30336
55	1797	30292
56	1830	30282
57	1864	30281
58	1899	30302
59	1932	30274
60	1957	30125
61	1996	30200
62	2046	30433
63	2055	30067
64	2067	29733
65	2078	29412
66	2102	29280
67	2125	29128
68	2149	29003
69	2173	28877
70	2200	28796
71	2208	28470
72	2224	28250
73	2250	28160
74	2265	27941
75	2296	27921
76	2313	27732
77	2344	27715
78	2379	27739
79	2413	27750
80	2439	27672
81	2455	27485
82	2474	27337
83	2492	27182
84	2516	27085
85	2539	26987
86	2562	26892
87	2587	26818
88	2603	26645
89	2627	26568
90	2651	26485
91	2674	26399
92	2699	26331
93	2708	26102
94	2725	25961
95	2740	25810
96	2765	25746
97	2790	25680
98	2825	25712
99	2848	25634
100	2860	25458
101	2887	25420
102	2912	25361
103	2936	25297
104	2951	25159
105	2959	24957
106	2981	24880
107	3013	24886
108	3047	24912
109	3084	24954
110	3108	24894
111	3133	24847
112	3146	24700
113	3169	24635
114	3195	24587
115	3218	24527
116	3242	24472
117	3267	24426
118	3295	24400
119	3325	24388
120	3349	24330
121	3373	24277
122	3381	24112
123	3404	24049
124	3409	23868
125	3435	23830
126	3462	23802
127	3492	23792
128	3520	23771
129	3553	23780
130	3573	23707
131	3608	23731
132	3633	23683
133	3655	23625
134	3679	23577
135	3704	23533
136	3729	23493
137	3741	23372
138	3775	23387
139	3800	23344
140	3825	23305
141	3849	23256
142	3875	23225
143	3887	23106
144	3912	23072
145	3936	23027
146	3961	22986
147	3969	22853
148	3994	22813
149	4005	22699
150	4030	22660
151	4067	22690
152	4094	22667
153	4133	22709
154	4149	22619
155	4172	22572
156	4196	22532
157	4212	22449
158	4237	22411
159	4260	22369
160	4272	22266
161	4306	22276
162	4328	22228
163	4353	22190
164	4378	22157
165	4402	22119
166	4436	22130
167	4461	22097
168	4502	22137
169	4536	22150
170	4568	22146
171	4604	22164
172	4635	22157
173	4659	22118
174	4684	22083
175	4708	22046
176	4733	22010
177	4749	21934
178	4776	21907
179	4801	21872
180	4826	21838
181	4851	21803
182	4877	21776
183	4912	21787
184	4938	21754
185	4976	21778
186	5000	21739
187	5025	21705
188	5049	21666
189	5081	21663
190	5117	21677
191	5142	21641
192	5165	21600
193	5190	21566
194	5215	21531
195	5241	21502
196	5266	21466
197	5292	21437
198	5310	21376
199	5349	21397
200	5396	21450
201	5441	21498
202	5475	21496
203	5504	21477
204	5535	21468
205	5569	21465
206	5602	21461
207	5633	21448
208	5663	21436
209	5689	21402
210	5712	21360
211	5742	21344
212	5775	21337
213	5807	21329
214	5830	21287
215	5867	21297
216	5892	21260
217	5917	21225
218	5943	21194
219	5967	21158
220	5991	21120
221	6027	21123
222	6052	21087
223	6075	21048
224	6100	21011
225	6140	21028
226	6167	21001
227	6200	20994
228	6230	20976
229	6261	20964
230	6292	20949
231	6322	20930
232	6346	20891
233	6371	20857
234	6401	20838
235	6425	20801
236	6449	20762
237	6472	20721
238	6496	20684
239	6521	20650
240	6547	20620
241	6580	20612
242	6612	20597
243	6646	20593
244	6707	20669
245	6751	20694
246	6779	20666
247	6809	20648
248	6838	20624
249	6869	20608
250	6895	20575
251	6929	20568
252	6955	20537
253	6980	20502
254	7005	20467
255	7030	20432
256	7056	20399
257	7081	20366
258	7105	20329
259	7143	20330
260	7189	20357
261	7222	20343
262	7253	20326
263	7277	20288
264	7302	20254
265	7327	20220
266	7362	20212
267	7393	20194
268	7416	20154
269	7440	20117
270	7473	20103
271	7501	20076
272	7540	20080
273	7564	20043
274	7590	20012
275	7622	19995
276	7657	19987
277	7690	19972
278	7725	19964
279	7757	19947
280	7796	19948
281	7820	19912
282	7845	19876
283	7875	19855
284	7901	19821
285	7926	19789
286	7952	19756
287	7977	19721
288	8002	19688
289	8027	19653
290	8051	19617
291	8076	19581
292	8100	19546
293	8124	19511
294	8150	19477
295	8180	19455
296	8222	19463
297	8249	19433
298	8278	19407
299	8307	19383
300	8334	19354
301	8361	19325
302	8390	19300
303	8420	19278
304	8454	19264
305	8490	19256
306	8525	19244
307	8551	19212
308	8578	19184
309	8604	19150
310	8630	19121
311	8661	19099
312	8687	19069
313	8728	19069
314	8755	19040
315	8780	19005
316	8805	18971
317	8830	18937
318	8856	18906
319	8889	18889
320	8923	18876
321	8957	18861
322	8991	18846
323	9017	18813
324	9042	18779
325	9070	18754
326	9096	18720
327	9121	18687
